year,region,total,detained,nc,dc,rc,nn,dn,rn,total_year,detained_year,pct_criminal_detained,pct_noncriminal_detained,pct_detained,pct_all_proceedings,pct_all_detained
2012,NORTH AMERICA,731.0,362.0,129.0,219.0,18.0,240.0,93.0,32.0,203299.0,135939.0,0.6475409836065574,0.3424657534246575,0.4952120383036936,0.003595689108160886,0.002662959121370615
2012,ASIA,19934.0,5650.0,504.0,1758.0,273.0,13780.0,735.0,2884.0,203299.0,135939.0,0.8011834319526627,0.20800045979654003,0.2834353366108157,0.09805262200010821,0.04156275976724855
2012,EUROPE,4993.0,2154.0,271.0,951.0,158.0,2568.0,404.0,641.0,203299.0,135939.0,0.803623188405797,0.28923332410739,0.43140396555177246,0.024559884701843098,0.015845342396221835
2012,OCEANIA,340.0,229.0,39.0,136.0,23.0,72.0,36.0,34.0,203299.0,135939.0,0.803030303030303,0.49295774647887325,0.6735294117647059,0.0016724135386794819,0.0016845791126902509
2012,OTHERS,656.0,586.0,6.0,7.0,2.0,64.0,514.0,63.0,203299.0,135939.0,0.6,0.9001560062402496,0.8932926829268293,0.0032267743569815888,0.004310757030727017
2013,AFRICA,5976.0,2605.0,117.0,788.0,102.0,3254.0,751.0,964.0,185974.0,118697.0,0.8838133068520357,0.34513986717649425,0.4359103078982597,0.032133524040994975,0.02194663723598743
2013,CARIBBEAN,9879.0,4535.0,1463.0,2917.0,357.0,3881.0,534.0,727.0,185974.0,118697.0,0.6911547392864682,0.24523531699727733,0.45905456017815566,0.053120328648090596,0.038206525859962766
2013,CENTRAL AMERICA,135024.0,95646.0,1631.0,13441.0,1441.0,37747.0,34754.0,46010.0,185974.0,118697.0,0.9012293344637559,0.6814894819890137,0.7083629576964096,0.7260369729101918,0.8057996411029765
2013,SOUTH AMERICA,9142.0,5241.0,315.0,854.0,153.0,3586.0,1018.0,3216.0,185974.0,118697.0,0.7617246596066566,0.5414322250639386,0.5732881207613214,0.0491574091001968,0.04415444366748949
2013,NORTH AMERICA,562.0,258.0,103.0,169.0,16.0,201.0,46.0,27.0,185974.0,118697.0,0.6423611111111112,0.2664233576642336,0.45907473309608543,0.0030219277963586307,0.002173601691702402
2013,ASIA,20140.0,8067.0,515.0,1446.0,215.0,11558.0,739.0,5667.0,185974.0,118697.0,0.7633272058823529,0.356602093075039,0.40054617676266135,0.10829470786238937,0.06796296452311347
2013,EUROPE,4494.0,1765.0,283.0,731.0,98.0,2446.0,294.0,642.0,185974.0,118697.0,0.7455035971223022,0.2767593140153755,0.39274588340008904,0.02416466817942293,0.01486979451881682
2013,OCEANIA,288.0,183.0,24.0,124.0,16.0,81.0,24.0,19.0,185974.0,118697.0,0.8536585365853658,0.3467741935483871,0.6354166666666666,0.0015486035682407218,0.0015417407348121688
2013,OTHERS,469.0,397.0,3.0,7.0,1.0,69.0,357.0,32.0,185974.0,118697.0,0.7272727272727273,0.8493449781659389,0.8464818763326226,0.002521857894114231,0.003344650665138967
2014,AFRICA,5303.0,2610.0,112.0,632.0,72.0,2581.0,1057.0,849.0,204655.0,126599.0,0.8627450980392157,0.42478270559393805,0.4921742409956628,0.0259119005155017,0.020616276589862478
2014,CARIBBEAN,7116.0,3604.0,1170.0,2208.0,204.0,2342.0,588.0,604.0,204655.0,126599.0,0.6733668341708543,0.33729485002829657,0.5064643057897695,0.03477071168551953,0.02846783939841547
2014,CENTRAL AMERICA,163074.0,105527.0,942.0,10624.0,1105.0,56605.0,38762.0,55036.0,204655.0,126599.0,0.9256570120748165,0.623644475176692,0.6471111274636054,0.7968239231878038,0.8335531876239148
2014,SOUTH AMERICA,9156.0,5579.0,231.0,679.0,82.0,3346.0,1549.0,3269.0,204655.0,126599.0,0.7671370967741935,0.5901518863302303,0.6093272171253823,0.044738706603796634,0.04406827858039953
2014,NORTH AMERICA,416.0,208.0,55.0,130.0,14.0,153.0,44.0,20.0,204655.0,126599.0,0.7236180904522613,0.29493087557603687,0.5,0.0020326891598055263,0.0016429829619507264
